Stop,stop_lat,stop_lon
8 av/w 12 st,40.737903,-74.004356
w 14 st/8 av,40.740027,-74.002966
w 14 st/9 av,40.741148,-74.005521
w 14 st/10 av,40.742056,-74.007914
11 av/w 15 st,40.743388,-74.0084
11 av/ w 18 st,40.745731,-74.007993
w 24 st/11 av,40.749997,-74.007489
12 av/ w 27 st,40.752215,-74.007578
12 av/w 30 st,40.75484,-74.006232
12 av/w 33 st,40.756398,-74.005125
12 av/ w 40 st,40.760765,-74.001924
12 av/w 43 st,40.762552,-74.000157
12 av/w 46 st,40.764287,-73.998337
12 av/w 48 st,40.765583,-73.997431
12 av/w 52 st,40.768082,-73.995597
12 av/w 55 st,40.769942,-73.994246
w 57 st/11 av,40.77023,-73.991334
w 57 st/10 av,40.768866,-73.988149
w 57 st/9 av,40.767697,-73.98534
8 av/w 57 st,40.76674,-73.982683
w 58 st/broadway,40.767155,-73.981981