Latitdue,Longitude
40.767133,-73.981803
40.767092,-73.981719
40.766582,-73.981779
40.766282,-73.981809
40.766462,-73.982259
40.766471,-73.982282
40.766471,-73.982282
40.766542,-73.982449
40.766702,-73.982819
40.767912,-73.985709
40.76801,-73.985944
40.76801,-73.985944
40.769102,-73.988559
40.769281,-73.988983
40.769281,-73.988983
40.770052,-73.990809
40.770302,-73.991399
40.770202,-73.991469
40.769993,-73.991622
40.769993,-73.991622
40.769972,-73.991639
40.769632,-73.991879
40.769112,-73.992259
40.769012,-73.992329
40.768372,-73.992809
40.768198,-73.992934
40.768198,-73.992934
40.767752,-73.993259
40.767122,-73.993719
40.766492,-73.994169
40.765956,-73.994567
40.765956,-73.994567
40.765872,-73.994629
40.765242,-73.995089
40.764622,-73.995549
40.764077,-73.995938
40.764077,-73.995938
40.763992,-73.995999
40.763372,-73.996459
40.762742,-73.996919
40.762632,-73.996999
40.762112,-73.997379
40.762052,-73.997419
40.761958,-73.997485
40.761958,-73.997485
40.761492,-73.997819
40.760812,-73.998319
40.760626,-73.998448
40.760626,-73.998448
40.760482,-73.998549
40.760142,-73.998789
40.759892,-73.998979
40.759832,-73.999019
40.759552,-73.999229
40.759002,-73.999629
40.758962,-73.999659
40.758842,-73.999749
40.758692,-73.999859
40.758352,-74.000099
40.758272,-74.000159
40.758077,-74.000306
40.758077,-74.000306
40.757942,-74.000409
40.757672,-74.000599
40.757382,-74.000819
40.757052,-74.001069
40.756452,-74.001509
40.755812,-74.002009
40.755611,-74.002139
40.755611,-74.002139
40.755102,-74.002469
40.755002,-74.002549
40.754792,-74.002719
40.754682,-74.002799
40.754532,-74.002909
40.754382,-74.003019
40.754272,-74.003099
40.754112,-74.003219
40.753942,-74.003339
40.753452,-74.003699
40.753372,-74.003759
40.753272,-74.003839
40.752662,-74.004299
40.75256,-74.004364
40.75256,-74.004364
40.752012,-74.004719
40.751402,-74.005179
40.750864,-74.005569
40.750864,-74.005569
40.750782,-74.005629
40.750162,-74.006079
40.749932,-74.006249
40.749522,-74.006549
40.749292,-74.006709
40.749102,-74.006849
40.748882,-74.007009
40.748812,-74.007119
40.748732,-74.007199
40.748632,-74.007279
40.748362,-74.007479
40.748304,-74.007523
40.748304,-74.007523
40.748152,-74.007639
40.747902,-74.007849
40.747452,-74.007939
40.746882,-74.008049
40.746802,-74.008059
40.746062,-74.008199
40.745892,-74.008229
40.745872,-74.008229
40.745522,-74.008289
40.745432,-74.008299
40.745372,-74.008149
40.745222,-74.007799
40.744872,-74.006929
40.744842,-74.006859
40.744822,-74.006809
40.744782,-74.006719
40.744642,-74.006389
40.74442,-74.005867
40.74442,-74.005867
40.744022,-74.004929
40.743442,-74.003539
40.743332,-74.003619
40.743168,-74.003739
40.743168,-74.003739
40.742992,-74.003869
40.742852,-74.003969
40.742682,-74.004109
40.742652,-74.004129
40.742552,-74.004209
40.742282,-74.004429
40.741612,-74.004789
40.741572,-74.004809
40.741362,-74.004929
40.741082,-74.005079
40.740862,-74.005169
40.740562,-74.005219
40.740181,-74.005268
40.740181,-74.005268
40.740022,-74.005289
40.739402,-74.005389
40.738832,-74.005475
40.738832,-74.005475
40.738742,-74.005489
40.738132,-74.005589
40.737542,-74.005679
40.737252,-74.005729
40.737162,-74.005739
40.737072,-74.005719
40.736992,-74.005679
40.736932,-74.005619
40.736892,-74.005559
40.737413,-74.004981
40.737413,-74.004981
40.737542,-74.004839
40.737788,-74.004547